Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source,Validation Rules
Synapse,Synapse system,,,,FALSE,Information Content Entity,,,
Project,A synapse project,,name,name,FALSE,Container,Synapse,,
Team,Synapse team,,name,name,FALSE,Information Content Entity,Synapse,,
Folder,A Synapse folder,,name,name,FALSE,Container,Synapse,,
ACL,Synapse ACL,"admin, edit+delete, edit, view",,,FALSE,Synapse,Synapse,,
Permissions,Synapse permissions tuples: team and ACL,,,,FALSE,Synapse,"Team, ACL",,
Container,A synapse entity i.e. container,,,,FALSE,Synapse,Synapse,,
Fileview,A synapse fileview,,name,name,FALSE,Synapse,,,
ProjectCenter,A project for each center,,,,TRUE,Project,Project,,
ProjectAdmin,Contains view with scope all center projects,,,,TRUE,Project,Project,,
FIleviewDatasets,View with scope all center projects,,"ProjectCenter, ProjectAdmin",,TRUE,Fileview,Fileview,,
TeamCenter,A Synapse team for each center,,,,TRUE,Team,Team,,
TeamAdmin,A Synapse DCC admin team,,,,TRUE,Team,Team,,
FolderDataTypeX,A hierarchical container of files of type X for HTAN projects,,ProjectCenter,,TRUE,Folder,Folder,,
FolderDataTypeY,A hierarchical container of files of type Y for HTAN projects,,ProjectCenter,,TRUE,Folder,Folder,,
AclCenter,ACL for center teams on center projects,,,,TRUE,ACL,ACL,,
AclAdmin,ACL for admin team on admin project and center projects,,,,TRUE,ACL,ACL,,
PermissionsCenter,Granting center permissions for each center on their project,,"ProjectCenter, TeamCenter, AclCenter",,TRUE,Permissions,Permissions,,
PermissionsAdmin,Granting admin permissions for Admin team on all projects,,"ProjectAdmin, ProjectCenter, TeamAdmin, AclAdmin",,TRUE,Permissions,Permissions,,
