Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source,Validation Rules
Synapse,Synapse system,,,,FALSE,Information Content Entity,,,
Project,A synapse project,,project name,project name,FALSE,Container,Synapse,,
Team,Synapse team,,,,FALSE,Information Content Entity,Synapse,,
Folder,A Synapse folder,,folder name,folder name,FALSE,Container,Synapse,,
ACL,Synapse ACL,"admin, edit+delete, edit, view",,,FALSE,Synapse,Synapse,,
Permissions,Synapse permissions tuples: team and ACL,,,,FALSE,Synapse,"Team, ACL",,
Container,A synapse entity i.e. container,,,,FALSE,Synapse,Synapse,,
Fileview,A synapse fileview,,,,FALSE,Synapse,,,
Center A project,Center A's project,,"FolderA, FolderB, PermissionsCenterA, PermissionsDCC",,TRUE,Project,Project,,
Center B project,Center B's project,,"FolderA, FolderB, PermissionsCenterB, PermissionsDCC",,TRUE,Project,Project,,
Admin project,Contains view with scope all center projects,,Admin fileview,,TRUE,Project,Project,,
Admin fileview,View with scope all center projects,,"Center A project, Center B project",,TRUE,Fileview,Fileview,,
TeamA,A Synapse team for center A,,,,TRUE,Team,Team,,
TeamB,A Synapse team for center B,,,,TRUE,Team,Team,,
TeamDCC,A Synapse DCC team,,,,TRUE,Team,Team,,
FolderA,A hierarchical container of files of type A for HTAN projects,,,,TRUE,Folder,Folder,,
FolderB,A hierarchical container of files of type B for HTAN projects,,,,TRUE,Folder,Folder,,
ACL-A,ACL instance A,,,,TRUE,ACL,ACL,,
ACL-B,ACL instance B,,,,TRUE,ACL,ACL,,
ACL-DCC,ACL instance DCC,,,,TRUE,ACL,ACL,,
PermissionsCenterA,Specific set of permissions requires a team and an ACL,,"TeamA, ACL-A",,TRUE,Permissions,,,
PermissionsCenterB,Specific set of permissions requires a team and an ACL,,"TeamB, ACL-B",,TRUE,Permissions,,,
PermissionsDCC,Specific set of permissions requires a team and an ACL,,"TeamDCC, ACL-DCC",,TRUE,Permissions,,,
HTAN DCC,All components needed to spin up an HTAN DCC,,"Center A project, Center B project, Admin project, TeamA, TeamB, TeamDCC",,FALSE,Synapse,,,
